ema;institucion;nombre_ema;comuna;region;latitud;longitud;fecha_de_alta
178;INIA;Punta Parra;Tomé;Biobío;-36,672393833;-72,964684000;2013-03-08T06:49:12Z
179;INIA;Sta Rosa;Chillán;Biobío;-36,535195000;-71,916433833;2013-03-08T06:49:11Z
180;INIA;Yungay;Yungay;Biobío;-37,141384833;-72,011761000;2013-03-08T06:49:12Z
181;INIA;Navidad;El Carmen;Biobío;-36,907300833;-71,935601000;2013-03-08T06:49:11Z
182;INIA;C. Llollinco;Teodoro Schmidt;Araucanía;-38,976944000;-72,997777833;2013-03-08T06:49:12Z
183;INIA;Carillanca;Vilcún;Araucanía;-38,693055833;-72,417221833;2013-03-08T06:49:12Z
184;INIA;Cuarta Faja;Gorbea;Araucanía;-39,115555833;-72,605277833;2013-03-08T06:49:11Z
185;INIA;Dominguez;Saavedra;Araucanía;-38,918610833;-73,240278000;2013-03-08T06:49:12Z
186;INIA;La Providencia;Traiguén;Araucanía;-38,289444000;-72,611389000;2013-03-08T06:49:12Z
188;INIA;Quiripio;Carahue;Araucanía;-38,639721833;-73,244167000;2013-03-08T06:49:10Z
189;INIA;El Quincho;Cunco;Araucanía;-38,913175000;-72,183514000;2013-03-08T06:49:11Z
190;INIA;Curacautín-San Luis;Curacautín;Araucanía;-38,401667000;-71,902500000;2013-03-08T06:49:11Z
191;INIA;Sta. Adela;Nueva Imperial;Araucanía;-38,756110833;-72,891389000;2013-03-08T06:49:11Z
192;INIA;Tranapuente;Carahue;Araucanía;-38,690832833;-73,353333000;2013-03-08T06:49:10Z
193;INIA;Lago Verde;Paillaco;Los Ríos;-40,165081000;-72,633842833;2013-03-08T06:49:11Z
194;INIA;El Cardal;Río Bueno;Los Ríos;-40,386736833;-72,919058000;2013-03-08T06:49:12Z
195;INIA;Butalcura;Dalcahue;Los Lagos;-42,261761833;-73,650812000;2013-03-08T06:49:11Z
196;INIA;Colegual;Llanquihue;Los Lagos;-41,221842833;-73,259855833;2013-03-08T06:49:11Z
197;INIA;Huyar Alto;Curaco de Vélez;Los Lagos;-42,403919000;-73,568191833;2013-03-08T06:49:11Z
198;INIA;La Pampa;Purranque;Los Lagos;-40,860638833;-73,156917000;2013-03-08T06:49:12Z
199;INIA;Los Canelos;Los Muermos;Los Lagos;-41,481326000;-73,474378000;2013-03-08T06:49:11Z
200;INIA;Octay;Puerto Octay;Los Lagos;-40,957155833;-72,885495000;2013-03-08T06:49:12Z
201;INIA;Polizones;Fresia;Los Lagos;-41,115147000;-73,376627833;2013-03-08T06:49:11Z
202;INIA;Quilanto;Frutillar;Los Lagos;-41,030728000;-72,996308833;2013-03-08T06:49:11Z
203;INIA;Remehue;Osorno;Los Lagos;-40,522204000;-73,063654833;2013-03-08T06:49:11Z
204;INIA;Tara;Chonchi;Los Lagos;-42,703730833;-73,788516833;2013-03-08T06:49:11Z
205;INIA;Chile Chico;Chile Chico;Aysén;-46,543241833;-71,699297833;2013-03-08T06:49:11Z
206;INIA;Cochrane;Cochrane;Aysén;-47,241733000;-72,582203000;2013-03-08T06:49:11Z
207;INIA;Tamelaike;Coihaique;Aysén;-45,759113833;-72,061842833;2013-03-08T06:49:11Z
208;INIA;Vista Hermosa;Coihaique;Aysén;-45,936818000;-71,835341833;2013-03-08T06:49:11Z
209;INIA;Puerto Natales;Natales;Magallanes;-51,698366833;-72,483081833;2013-03-08T06:49:11Z
210;INIA;Punta Arenas Rural;Punta Arenas;Magallanes;-53,068313000;-70,873761000;2013-03-08T06:49:12Z
213;METEOVID;Errazuriz;Quillota;Valparaíso;-32,898611111;-71,351666667;2013-03-08T06:49:12Z
214;METEOVID;Luis Felipe Edwards-Leyda;Santo Domingo;Valparaíso;-33,739750000;-71,636778000;2013-03-08T06:49:11Z
215;METEOVID;Casa Marín;Cartagena;Valparaíso;-33,524444444;-71,545555556;2013-03-08T06:49:10Z
216;METEOVID;Emiliana;Casablanca;Valparaíso;-33,361388889;-71,309166667;2013-03-08T06:49:10Z
217;METEOVID;Ventisquero-Tapihue;Casablanca;Valparaíso;-33,300555556;-71,283333333;2013-03-08T06:49:10Z
218;METEOVID;Casa Rivas (N.C.);Curacaví;Metropolitana;-33,506388889;-71,060833333;2013-03-08T06:49:11Z
219;METEOVID;William Fevre;Pirque;Metropolitana;-33,671388889;-70,581666667;2013-03-08T06:49:12Z
220;METEOVID;Morandé - Romeral;Buin;Metropolitana;-33,706388889;-70,772777778;2013-03-08T06:49:10Z
221;METEOVID;Santa Rita;Buin;Metropolitana;-33,718611111;-70,669166667;2013-03-08T06:49:10Z
222;METEOVID;De Martino;Isla de Maipo;Metropolitana;-33,581944444;-70,880555556;2013-03-08T06:49:11Z
223;METEOVID;Chocalán;Melipilla;Metropolitana;-33,760555556;-71,225555556;2013-03-08T06:49:11Z
224;METEOVID;Pérez Cruz;Buin;Metropolitana;-33,843055556;-70,619722222;2013-03-08T06:49:10Z
225;METEOVID;San Pedro;Paine;Metropolitana;-33,768888889;-70,929722222;2013-03-08T06:49:11Z
226;METEOVID;Ventisquero;Buin;Metropolitana;-34,022500000;-71,344166667;2013-03-08T06:49:10Z
227;METEOVID;Anakena;Requínoa;O'Higgins;-34,304722222;-70,771666667;2013-03-08T06:49:12Z
228;METEOVID;La Rosa – Oeste;Peumo;O'Higgins;-34,325000000;-71,239444444;2013-03-08T06:49:11Z
229;METEOVID;Casa Silva-Los Lingues;San Fernando;O'Higgins;-34,502222222;-70,894722222;2013-03-08T06:49:12Z
